DRG,MDC
432,7
433,7
434,7
435,7
436,7
437,7
438,7
439,7
440,7
441,7
442,7
443,7
444,7
445,7
446,7
453,8
454,8
455,8
456,8
457,8
458,8
459,8
460,8
461,8
462,8
463,8
464,8
465,8
466,8
467,8
468,8
469,8
470,8
471,8
472,8
473,8
474,8
475,8
476,8
477,8
478,8
479,8
480,8
481,8
482,8
483,8
484,8
485,8
486,8
487,8
488,8
489,8
490,8
491,8
492,8
493,8
494,8
495,8
496,8
497,8
498,8
499,8
500,8
501,8
502,8
503,8
504,8
505,8
506,8
507,8
508,8
509,8
510,8
511,8
512,8
513,8
514,8
515,8
516,8
517,8
533,8
534,8
535,8
536,8
537,8
538,8
539,8
540,8
541,8
542,8
543,8
544,8
545,8
546,8
547,8
548,8
549,8
550,8
551,8
552,8
553,8
554,8
555,8
556,8
557,8
558,8
559,8
560,8
561,8
562,8
563,8
564,8
565,8
566,8
573,9
574,9
575,9
596,9
597,9
598,9
599,9
600,9
601,9
602,9
603,9
604,9
605,9
606,9
607,9
614,10
615,10
616,10
617,10
618,10
619,10
620,10
621,10
622,10
623,10
624,10
625,10
626,10
627,10
628,10
629,10
630,10
637,10
638,10
639,10
640,10
641,10
642,10
643,10
644,10
645,10
652,11
653,11
654,11
655,11
656,11
657,11
658,11
659,11
660,11
661,11
662,11
663,11
664,11
665,11
666,11
667,11
668,11
669,11
670,11
671,11
672,11
673,11
674,11
675,11
682,11
683,11
684,11
685,11
686,11
687,11
688,11
689,11
690,11
691,11
692,11
693,11
694,11
695,11
696,11
697,11
698,11
699,11
700,11
707,12
708,12
709,12
710,12
711,12
712,12
713,12
714,12
715,12
716,12
717,12
718,12
722,12
723,12
724,12
725,12
726,12
727,12
728,12
729,12
730,12
734,13
735,13
736,13
737,13
738,13
739,13
740,13
741,13
742,13
743,13
744,13
745,13
746,13
747,13
748,13
749,13
750,13
754,13
755,13
756,13
757,13
758,13
759,13
760,13
761,13
765,14
766,14
767,14
768,14
769,14
770,14
774,14
775,14
776,14
777,14
778,14
779,14
780,14
781,14
782,14
789,15
790,15
791,15
792,15
793,15
794,15
795,15
799,16
800,16
801,16
802,16
803,16
804,16
808,16
809,16
810,16
811,16
812,16
813,16
814,16
815,16
816,16
820,17
821,17
822,17
823,17
824,17
825,17
826,17
827,17
828,17
829,17
830,17
834,17
835,17
836,17
837,17
838,17
839,17
840,17
841,17
842,17
843,17
844,17
845,17
846,17
847,17
848,17
849,17
853,18
854,18
855,18
856,18
857,18
858,18
862,18
863,18
864,18
865,18
866,18
867,18
868,18
869,18
870,18
871,18
872,18
876,19
880,19
881,19
882,19
883,19
884,19
885,19
886,19
887,19
894,20
895,20
896,20
897,20
901,21
902,21
903,21
904,21
905,21
906,21
907,21
908,21
909,21
913,21
914,21
915,21
916,21
917,21
918,21
919,21
920,21
921,21
922,21
923,21
927,22
928,22
929,22
933,22
934,22
935,22
939,23
940,23
941,23
945,23
946,23
947,23
948,23
949,23
950,23
951,23
955,24
956,24
957,24
958,24
959,24
963,24
964,24
965,24
969,25
970,25
974,25
975,25
976,25
977,25
981,NA
982,NA
983,NA
984,NA
985,NA
986,NA
987,NA
988,NA
989,NA
998,NA
999,NA
